"","sort.dbPriors."
".htaccess",1
".net",2
".net-2.0",3
".net-3.5",4
"64bit",5
"abap",6
"account",7
"actionscript-3",8
"active-directory",9
"activemq",10
"activerecord",11
"address-bar",12
"ado.net",13
"adobe",14
"adsl",15
"agile",16
"air",17
"aix",18
"ajax",19
"algorithm",20
"alt.net",21
"anchor",22
"animation",23
"annotations",24
"ansi",25
"ant",26
"aop",27
"apache",28
"api",29
"apple-touch-icon",30
"applet",31
"application",32
"application-advice",33
"application-integration",34
"aptana",35
"architecture",36
"archive",37
"arrays",38
"article",39
"artificial-intelligence",40
"ascii",41
"ase",42
"asmx",43
"asp-classic",44
"asp.net",45
"asp.net-ajax",46
"asp.net-mvc",47
"assemblies",48
"assembly",49
"audio",50
"audit",51
"authentication",52
"autoboxing",53
"autocomplete",54
"autoconf",55
"automake",56
"awk",57
"backup",58
"backwards-compatibility",59
"base64",60
"bash",61
"bayesian",62
"bcp",63
"bdd",64
"benchmarking",65
"berkeley-db",66
"beta",67
"big-o",68
"binary",69
"binary-log",70
"binding",71
"blob",72
"blogs",73
"books",74
"boot",75
"breaks",76
"browser",77
"buffer-overflow",78
"build-automation",79
"build-process",80
"business-logic-layer",81
"button",82
"c",83
"c#",84
"c++",85
"caching",86
"cairngorm",87
"captcha",88
"career-development",89
"casting",90
"caucho",91
"certification",92
"challenge",93
"charts",94
"checkbox",95
"chm",96
"cisvc",97
"cli",98
"clickonce",99
"client-scripting",100
"clipboard",101
"cloud",102
"clr",103
"cls",104
"cls-compliant",105
"cluster-analysis",106
"cmd",107
"cmdlets",108
"cmmi",109
"cocoa",110
"code",111
"code-completion",112
"code-coverage",113
"code-reuse",114
"code-review",115
"code-snippets",116
"coding",117
"coding-style",118
"coldfusion",119
"colemak",120
"collaboration",121
"collections",122
"color-space",123
"colors",124
"columns",125
"com",126
"com-interop",127
"command-line",128
"comments",129
"communities",130
"community-server",131
"compact-framework",132
"compatibility",133
"compiler",134
"compiz",135
"complexity",136
"components",137
"compression",138
"computer",139
"computer-science",140
"concepts",141
"concurrency",142
"conferences",143
"configuration",144
"configuration-files",145
"confirm",146
"connection",147
"connection-string",148
"console",149
"construction",150
"consultant",151
"consulting",152
"content",153
"content-management-system",154
"continuations",155
"continuous-integration",156
"contracting",157
"contractor",158
"contracts",159
"contribute",160
"controls",161
"convention",162
"conventions",163
"conversion",164
"convert",165
"corecon",166
"country",167
"covariance",168
"cpu",169
"cracking",170
"crash",171
"crc32",172
"cron",173
"cross-browser",174
"cross-platform",175
"cruisecontrol.net",176
"csla",177
"css",178
"csv",179
"culture",180
"curl",181
"curses",182
"custom",183
"customization",184
"cvs",185
"cx-oracle",186
"dash",187
"data",188
"data-binding",189
"data-conversion",190
"data-structures",191
"database",192
"database-design",193
"datacontext",194
"dataset",195
"datatable",196
"dataview",197
"date",198
"date-conversion",199
"datetime",200
"db2",201
"dct",202
"ddl",203
"debian",204
"debugging",205
"decisions",206
"default",207
"defensive-programming",208
"del.icio.us",209
"delicious-api",210
"delphi",211
"dep",212
"dependency-injection",213
"dependency-properties",214
"deployment",215
"design",216
"design-patterns",217
"desktop",218
"developerexpress",219
"development",220
"development-environment",221
"devkitpro",222
"diagram",223
"diff",224
"diplomacy",225
"directed-graph",226
"directory",227
"directx",228
"discussion",229
"diy",230
"django",231
"dll",232
"dns",233
"dnsmasq",234
"doctype",235
"documentation",236
"dom",237
"double",238
"dsl",239
"dual",240
"duplicates",241
"dvcs",242
"dvorak",243
"dynamic-data",244
"dynamic-sql",245
"e-commerce",246
"each",247
"ear",248
"easter-eggs",249
"eclipse",250
"eclipse-3.4",251
"editor",252
"education",253
"emacs",254
"email",255
"email-spam",256
"embed",257
"embedded",258
"embedded-database",259
"encoding",260
"encryption",261
"enterprise",262
"entrepreneurship",263
"enums",264
"environment",265
"ergonomics",266
"erlang",267
"error-handling",268
"etag",269
"ethics",270
"events",271
"excel",272
"exception",273
"exchange",274
"executable",275
"exit",276
"expand",277
"exploit",278
"extensibility",279
"extension",280
"extension-methods",281
"extreme-programming",282
"fallback",283
"family",284
"favicon",285
"file",286
"file-io",287
"file-type",288
"filehelpers",289
"filemanagement",290
"filenames",291
"filesystems",292
"firebird",293
"firebug",294
"firefox",295
"flags",296
"flash",297
"flex",298
"floating-point",299
"flv",300
"fogbugz",301
"folding",302
"fonts",303
"for-xml",304
"foreach",305
"foreign-keys",306
"form-submit",307
"format",308
"formatting",309
"forms",310
"forum",311
"frameworks",312
"free",313
"freeware",314
"ftp",315
"full-text-search",316
"fun",317
"functional-programming",318
"game-development",319
"ganymede",320
"genealogy",321
"generation",322
"generator",323
"generics",324
"geometry",325
"getter",326
"getting-started",327
"gis",328
"git",329
"globalization",330
"glossary",331
"gltail",332
"gmail",333
"google",334
"google-app-engine",335
"google-perftools",336
"grails",337
"graph",338
"graph-layout",339
"graphics",340
"graphing",341
"gravatar",342
"grid",343
"groovy",344
"group-by",345
"groupwork",346
"gtd",347
"gtk",348
"guide",349
"guidelines",350
"gwt",351
"gzip",352
"hacking",353
"hacks",354
"haml",355
"hanging",356
"hardware",357
"hash",358
"haskell",359
"header",360
"heap",361
"height",362
"helpfile",363
"hex",364
"hijacked",365
"hiring",366
"home-server",367
"homework",368
"hook",369
"hosting",370
"howto",371
"hsl",372
"html",373
"html-content-extraction",374
"html-lists",375
"html-parsing",376
"html-select",377
"html5",378
"http",379
"http-referer",380
"https",381
"hungarian-notation",382
"hyperlink",383
"ibm",384
"ibm-midrange",385
"ical",386
"icalendar",387
"icedtea",388
"icons",389
"ide",390
"ideas",391
"ie-mobile",392
"ienumerable",393
"ienumerator",394
"if-statement",395
"iframe",396
"iis",397
"image",398
"image-processing",399
"impersonation",400
"implementation",401
"import",402
"improvement",403
"indexing",404
"indexing-service",405
"industry",406
"inequality",407
"informix",408
"inheritance",409
"ini",410
"innerxml",411
"installation",412
"installer",413
"instrumentation",414
"int",415
"integer",416
"integration",417
"intellisense",418
"interbase",419
"interface",420
"internationalization",421
"internet-explorer",422
"internet-explorer-6",423
"internet-explorer-7",424
"internet-explorer-8",425
"interop",426
"interpreted",427
"interview-questions",428
"inversion-of-control",429
"io",430
"ip-address",431
"iphone",432
"ipod-touch",433
"ironruby",434
"isp",435
"issue-tracking",436
"iteration",437
"j#",438
"java",439
"java-7",440
"java-ee",441
"javascript",442
"jni",443
"jnlp",444
"job-boards",445
"jobs",446
"joeltest",447
"joomla",448
"jquery",449
"jsf",450
"junit",451
"jxta",452
"keyboard",453
"ksh",454
"lambda",455
"lamp",456
"language",457
"language-agnostic",458
"language-design",459
"laptop",460
"latitude",461
"layout",462
"lazy-initialization",463
"leader",464
"legacy",465
"legal",466
"library",467
"lifecycle",468
"lightweight",469
"line-breaks",470
"linear-algebra",471
"linear-equation",472
"lingo",473
"linker",474
"linq",475
"linq-to-objects",476
"linq-to-sql",477
"linux",478
"lisp",479
"literals",480
"localization",481
"log4net",482
"logging",483
"logic",484
"longitude",485
"lookup",486
"loops",487
"lua",488
"lucene",489
"macromedia",490
"macros",491
"mailto",492
"mainframe",493
"maintainability",494
"maintenance",495
"malicious",496
"malloc",497
"management",498
"mapi",499
"mappath",500
"mapping",501
"maps",502
"markup",503
"marshalling",504
"master-pages",505
"math",506
"matlab",507
"mbunit",508
"mcpd",509
"mcts",510
"media",511
"medium-trust",512
"membership",513
"memory",514
"memory-leaks",515
"memory-management",516
"mental-health",517
"menu",518
"mercurial",519
"merge",520
"mergesort",521
"messaging",522
"metacity",523
"methods",524
"mfc",525
"microcontroller",526
"microformats",527
"microsoft",528
"midi",529
"migration",530
"mobile",531
"mocking",532
"mod-rewrite",533
"modem",534
"modi",535
"monads",536
"moniker",537
"monitor",538
"monkeypatching",539
"mono",540
"moss",541
"mouse",542
"mp3",543
"mp4",544
"ms-access",545
"msbuild",546
"msdn",547
"msdtc",548
"msf",549
"multilingual",550
"multiple-monitors",551
"multithreading",552
"mvc",553
"mvp",554
"myeclipse",555
"mysql",556
"n-tier",557
"namespaces",558
"nant",559
"nativelibrary",560
"navigation",561
"networking",562
"new-project",563
"nhibernate",564
"non-technical",565
"nslookup",566
"null",567
"nullpointerexception",568
"numbers",569
"obfuscation",570
"object-database",571
"object-datasource",572
"objective-c",573
"ocr",574
"odbc",575
"office-2003",576
"office-2007",577
"offshoring",578
"olap",579
"oledb",580
"oop",581
"open-source",582
"opengl",583
"openid",584
"openjdk",585
"operating-system",586
"optimization",587
"oracle",588
"organizing",589
"orm",590
"osx",591
"outlook",592
"paging",593
"paradigms",594
"parallel-processing",595
"parameters",596
"parents",597
"parsing",598
"pass-by-reference",599
"pass-by-value",600
"passion",601
"passwords",602
"patchgeneration",603
"path",604
"patterns",605
"payment",606
"pdf",607
"peer-review",608
"performance",609
"performance-monitoring",610
"peripherals",611
"perl",612
"permissions",613
"phing",614
"photoshop",615
"php",616
"pi",617
"picturebox",618
"pinvoke",619
"plan",620
"planning",621
"plot",622
"plugins",623
"pocketpc",624
"podcast",625
"pointers",626
"polls",627
"polymorphism",628
"pop3",629
"postgresql",630
"powerpoint",631
"powershell",632
"presentations",633
"primes",634
"primitive",635
"printf",636
"printing",637
"privileges",638
"procedural",639
"process-management",640
"processes",641
"product-management",642
"productivity",643
"profile",644
"profiler",645
"profiling",646
"programmers",647
"programming-languages",648
"progressive-enhancement",649
"project-hosting",650
"project-planning",651
"projects",652
"projects-and-solutions",653
"properties",654
"propertygrid",655
"protocol-buffers",656
"prototype",657
"prototyping",658
"provider",659
"proxy",660
"publishers",661
"purify",662
"puzzle",663
"pylons",664
"python",665
"qos",666
"qstring",667
"qt",668
"quality",669
"query",670
"queue",671
"quotes",672
"qwerty",673
"raid5",674
"rake",675
"ram",676
"random",677
"rational",678
"rcp",679
"rdoc",680
"reading",681
"real-time",682
"rebuild",683
"recommendation",684
"recreational-programming",685
"recurrence",686
"recursion",687
"redirect",688
"redistributable",689
"reduce",690
"refactoring",691
"reference",692
"reflection",693
"regex",694
"registry",695
"relate",696
"release-management",697
"releasing",698
"remote",699
"remoting",700
"remove",701
"reorganize",702
"repair",703
"replication",704
"reporting-services",705
"repository",706
"resharper",707
"resin",708
"resources",709
"rest",710
"reverse-engineering",711
"rgb",712
"rhino-mocks",713
"rockbox",714
"routing",715
"rsi",716
"rss",717
"rsync",718
"ruby",719
"ruby-on-rails",720
"rubygems",721
"rule-engine",722
"safari",723
"sandcastle",724
"sap",725
"scalability",726
"scalar",727
"scheduled-tasks",728
"scheduling",729
"schema",730
"scheme",731
"schools",732
"screen-scraping",733
"scripting",734
"scsf",735
"search",736
"security",737
"selenium",738
"self-documenting-code",739
"self-improvement",740
"serial-port",741
"serialization",742
"server",743
"server-configuration",744
"server-side",745
"service",746
"servlets",747
"session",748
"setter",749
"settings",750
"setup",751
"sftp",752
"sgml",753
"shader",754
"sharepoint",755
"shell",756
"shockwave",757
"shortcuts",758
"signal-processing",759
"silverlight",760
"simulation",761
"singleton",762
"sitemap",763
"size",764
"skills",765
"skins",766
"smb",767
"sms",768
"soa",769
"social",770
"sockets",771
"software",772
"software-development",773
"software-distribution",774
"software-engineering",775
"software-factory",776
"software-industry",777
"software-lifecycle",778
"software-tools",779
"sorting",780
"source-code",781
"spl",782
"sqa",783
"sql",784
"sql-injection",785
"sql-server",786
"sql-server-2005",787
"sql-server-2008",788
"sqlite",789
"ssh",790
"ssl",791
"ssp",792
"stack",793
"standards",794
"startups",795
"static-analysis",796
"statistics",797
"storage",798
"stress-testing",799
"string",800
"string.format",801
"stringbuilder",802
"stsadm",803
"subclipse",804
"subdomain",805
"subsonic",806
"svn",807
"swing",808
"swt",809
"sybase",810
"symlink",811
"syntax",812
"sysobjects",813
"system",814
"t4",815
"tabs",816
"tag-cloud",817
"tdd",818
"teaching",819
"team",820
"teamcity",821
"teamwork",822
"templates",823
"terminal",824
"ternary-operator",825
"testdriven.net",826
"testing",827
"testng",828
"text",829
"text-editor",830
"text-files",831
"textwrangler",832
"tfs",833
"theory",834
"throttle",835
"time",836
"timer",837
"timespan",838
"timezone",839
"title-case",840
"tools",841
"tortoisesvn",842
"training",843
"transcode",844
"tree",845
"treeview",846
"triggers",847
"tsql",848
"turing-complete",849
"turing-machines",850
"turkish",851
"tutorials",852
"type-safety",853
"types",854
"ubuntu",855
"unicode",856
"union",857
"unique",858
"unit-testing",859
"unix",860
"unsigned-integer",861
"update",862
"upload",863
"url",864
"url-rewriting",865
"url-routing",866
"usability",867
"user",868
"user-interface",869
"usercontrols",870
"usersgroup",871
"utf-8",872
"utilities",873
"uuid",874
"vague",875
"validation",876
"variables",877
"vb.net",878
"vb6",879
"vb6-migration",880
"vbscript",881
"vc6",882
"vdproj",883
"verification",884
"version-control",885
"versioning",886
"versions",887
"vfp",888
"vi",889
"video",890
"video-streaming",891
"views",892
"viewstate",893
"vim",894
"virtual",895
"virtual-directory",896
"virtualization",897
"vista64",898
"visual-c++",899
"visual-studio",900
"visual-studio-2008",901
"visualsvn-server",902
"vmware",903
"voronoi",904
"vpn",905
"vsx",906
"w3c",907
"warcraft",908
"warnings",909
"wcf",910
"web",911
"web-applications",912
"web-design",913
"web-development",914
"web-scraping",915
"web-services",916
"web2.0",917
"webbrowser",918
"webcam",919
"webcontrols",920
"webforms",921
"webserver",922
"website",923
"websphere",924
"webstart",925
"wgs84",926
"whats-your-favourite",927
"whitespace",928
"wiki",929
"winapi",930
"windows",931
"windows-installer",932
"windows-mobile",933
"windows-nt",934
"windows-server-2003",935
"windows-server-2008",936
"windows-services",937
"windows-vista",938
"windows-xp",939
"winforms",940
"wing-ide",941
"winhelp",942
"wireless",943
"wix",944
"wmi",945
"wordpress",946
"work-hours",947
"workflow",948
"workstations",949
"wow",950
"wpf",951
"ws-security",952
"wss",953
"wysiwyg",954
"x11",955
"x86",956
"xaml",957
"xampp",958
"xcode",959
"xelement",960
"xen",961
"xfdl",962
"xhtml",963
"xming",964
"xml",965
"xml-comments",966
"xml-sig",967
"xmp",968
"xna",969
"xsd",970
"xslt",971
"xss",972
"xul",973
"xulrunner",974
"yahoo",975
"youtube",976
"zend-studio",977
"zip",978
"zos",979
